ID	Count	Types	Full text	Languages	MIME types
07931_L_DE_UniLibHeidelberg_druckschriften_IIIF	28550	"TEXT";	"false";	"de";	"image/jpeg";
07932_L_DE_UniLibHeidelberg_handschriften_IIIF	5599	"TEXT";	"false";	"de";	"image/jpeg";
08001_L_FR_BVH_ese.xml	384	"IMAGE";	"false";	"fr";	
08502_Ag_EU_ATHENA_TheIsraelMuseum	7408	"IMAGE";	"false";"true";	"en";	"image/jpeg";"text/html";
08506_Ag_EU_ATHENA_Central_Library_of_the_Bulgaria	14534	"SOUND";"IMAGE";	"false";	"bg";	"image/gif";"image/jpeg";
08520_Ag_EU_ATHENA_Ministry_of_Culture_of_the_Repu	16963	"IMAGE";	"false";	"sl";	"image/jpeg";
08527_Ag_EU_ATHENA_Helina_Rautavaara_Museum	1340	"IMAGE";	"false";	"fi";	
08531_Ag_EU_ATHENA_Research_Centre_for_the_Study_o	158	"TEXT";	"false";	"el";	
08532_Ag_EU_ATHENA_The_State_Radishshev_Art_Museum	282	"IMAGE";	"false";	"ru";	"image/jpeg";
08533_Ag_EU_ATHENA_Heritage_Malta	979	"IMAGE";	"false";	"en";	"image/jpeg";
08534_Ag_EU_ATHENA_International_Centre_For_Inform	30055	"IMAGE";	"false";	"pl";	"image/jpeg";"text/plain";
08535_Ag_EU_ATHENA_Institute_for_Museum_Research	107207	"IMAGE";	"false";"true";	"de";	"image/jpeg";"text/plain";
08539_Ag_EU_ATHENA_Slovenian_Museum_of_Natural_His	9258	"IMAGE";	"false";	"sl";	"image/jpeg";"image/gif";"audio/mpeg";"video/x-flv";
08541_Ag_EU_ATHENA_National_Documentation_Centre	1709	"IMAGE";	"false";	"el";	"image/jpeg";
08543_Ag_EU_ATHENA_Hellenic_Ministry_of_Culture_&_	null				
08544_Ag_EU_ATHENA_Hellenic_Maritime_Museum	50	"IMAGE";	"false";	"el";	
08545_Ag_EU_ATHENA_Technical_Museum_of_Slovenia	459	"IMAGE";	"false";	"sl";	"image/jpeg";
08546_Ag_EU_ATHENA_Alexandos_Soutzos	59	"IMAGE";	"false";	"el";	
08547_Ag_EU_ATHENA_Zuse-Institute_Berlin	170596	"IMAGE";	"false";	"de";	"image/jpeg";
08548_Ag_EU_ATHENA_Estonian_Ministry_of_Culture	471	"IMAGE";	"false";	"et";	"image/jpeg";
08557_Ag_EU_ATHENA_The_National_Museum_of_Slovenia	463	"IMAGE";	"false";	"sl";	"image/jpeg";
08560_Ag_EU_ATHENA_State_agency_Culture_informatio	9866	"IMAGE";	"false";	"lv";	"image/jpeg";"image/png";
08562_Ag_EU_ATHENA_KHI_Florenz	36170	"IMAGE";	"false";	"de";	
08566_Ag_EU_ATHENA_Royal_Museum_for_Art_and_Histor	10291	"IMAGE";	"false";	"mul";	
08568_Ag_EU_ATHENA_DNB_DBSM	2747	"IMAGE";	"false";	"de";	
08570_Ag_EU_ATHENA_Spordimuuseum	1478	"IMAGE";	"false";	"et";	
08571_Ag_EU_ATHENA_Kunstimuuseum	2332	"IMAGE";	"false";	"et";	
08572_Ag_EU_ATHENA_Maanteemuuseum	11129	"IMAGE";	"false";	"et";	
08573_Ag_EU_ATHENA_Piimandusmuuseum	2752	"IMAGE";	"false";	"et";	
08574_Ag_EU_ATHENA_National_Documentation_Centre	119	"IMAGE";	"false";	"el";	"image/jpeg";
08601_Ag_EU_EFG_DFI	67737	"IMAGE";"TEXT";"VIDEO";	"false";	"mul";	"image/jpeg";"video/x-flv";"video/mp4";"video/x-m4v";
08602_EFG_Instituto_Luce_Cinecitta	372236	"IMAGE";"VIDEO";	"false";	"mul";	"image/jpeg";"application/dash+xml";
08603_Ag_EU_EFG_FilmArchiv	10667	"TEXT";"VIDEO";	"false";	"de";	
08604_Deutsches_Filminstitut	96378	"IMAGE";"VIDEO";"TEXT";	"false";"true";	"de";	"image/jpeg";"application/pdf";"text/html";"video/mp4";"image/gif";"image/png";"video/x-flv";
08606_Ag_EU_EFG_Magyar	2220	"IMAGE";"VIDEO";	"false";	"hu";	"image/jpeg";"text/plain";
08607_EFG_Nasjonalbiblioteket	437	"VIDEO";	"false";	"mul";	
08608_EFG_Lichtspiel_Kinemathek_Bern	122	"VIDEO";	"false";	"mul";	"video/x-flv";
08609_EFG_Filmoteka_Narodowa	72048	"IMAGE";"VIDEO";	"false";	"pl";	"image/jpeg";"video/mp4";
08610_Cinemateca_Portuguesa	654	"VIDEO";"TEXT";"IMAGE";	"false";	"mul";	"application/pdf";"image/jpeg";
08611_Ag_EU_EFG_Cineteca_del_Comune_di_Bologna	73157	"TEXT";"IMAGE";"VIDEO";	"false";	"mul";	"application/pdf";"image/jpeg";
08612_Ag_EU_EFG_Tainiothiki_tis_Ellados	565	"TEXT";	"false";	"el";	
08613_EFG_Kansallinen_Audiovisuaalinen_Arkisto	700	"VIDEO";	"false";	"mul";	
08614_EFG_eye_Film_Instituut	1615	"IMAGE";"VIDEO";	"false";"true";	"mul";	"image/jpeg";"text/html";
